time_ms,angle_deg
0,0.0000
5,0.0000
10,0.0014
15,0.5136
20,5.6250
25,5.6264
30,8.3633
35,11.2500
40,11.2514
45,13.5091
50,16.8750
55,16.8764
60,17.8020
65,22.5000
70,22.5014
75,22.5014
80,28.1250
85,28.1264
90,28.1264
95,33.7500
100,33.7514
105,33.7514
110,39.3750
115,39.3764
120,39.3764
125,45.0000
130,45.0000
135,45.0014
140,50.6250
145,50.6250
150,50.6264
155,56.2500
160,56.2500
165,56.2514
170,61.8750
175,61.8750
180,61.8764
185,67.5000
190,67.5000
195,67.5014
200,73.1250
205,73.1250
210,73.1264
215,78.7500
220,78.7514
225,78.7514
230,84.3750
235,84.3764
240,84.3764
245,90.0000
250,90.0014
255,91.8704
260,95.6250
265,95.6264
270,101.2006
275,101.2500
280,101.2514
285,106.8750
290,106.8764
295,109.7713
300,112.5000
305,112.5014
310,118.1250
315,118.1264
320,123.7500
325,123.7514
330,125.5627
335,129.3750
340,129.3764
345,135.0000
350,135.0014
355,140.6250
360,140.6264
365,146.2500
370,146.2514
375,151.8750
380,151.8764
385,157.5000
390,157.5014
395,163.1250
400,163.1264
405,168.7500
410,168.7514
415,174.3750
420,177.5267
425,180.0014
430,185.6250
435,185.6264
440,191.2500
445,191.2514
450,196.8750
455,200.3082
460,202.5014
465,208.1250
470,208.1264
475,213.7500
480,217.7380
485,219.3764
490,225.0000
495,225.0014
500,230.6264
