tiempo(ms),ángulo
0,0.0000
5,0.0014
10,0.0014
15,5.6250
20,5.6264
25,7.3705
30,11.2500
35,13.7988
40,16.8764
45,22.5000
50,22.5014
55,28.1250
60,28.4230
65,33.7514
70,39.3750
75,39.3764
80,45.0000
85,47.8221
90,50.6264
95,56.2500
100,56.2514
105,61.8750
110,67.5000
115,67.5014
120,73.1250
125,73.4312
130,78.7514
135,84.3750
140,84.3764
145,90.0000
150,93.0116
155,95.6264
160,101.2500
165,101.2514
170,106.8750
175,111.5414
180,112.5014
185,118.1250
190,118.1264
195,123.7514
200,129.3750
205,129.3764
210,135.0000
215,136.2909
220,140.6264
225,146.2500
230,146.2514
235,151.8750
240,156.2599
245,157.5014
250,163.1250
255,163.1264
260,168.7514
265,174.3750
270,174.3764
275,180.0000
280,184.6829
285,185.6264
290,191.2500
295,192.6398
300,196.8764
305,202.5000
310,202.5014
315,208.1264
320,213.7500
325,213.7514
330,219.3750
335,223.7929
340,225.0014
345,230.6250
350,232.2386
355,236.2514
360,241.8750
365,243.2401
370,247.5014
375,253.1250
380,254.9707
385,258.7514
390,264.3750
395,266.4514
400,270.0014
405,275.6250
410,278.8522
415,281.2514
420,286.8750
425,291.1363
430,292.5014
435,298.1250
440,303.1471
445,303.7514
450,309.3750
455,315.0000
460,315.0014
465,320.6250
470,326.2500
475,326.2514
480,331.8750
485,337.5000
490,337.5014
495,343.1250
500,348.7500
